.pkg: _optional_hooks> python /opt/stack/cinder/.tox/.tox/lib/python3.10/site-packages/pyproject_api/_backend.py True setuptools.build_meta __legacy__
.pkg: get_requires_for_build_editable> python /opt/stack/cinder/.tox/.tox/lib/python3.10/site-packages/pyproject_api/_backend.py True setuptools.build_meta __legacy__
.pkg: build_editable> python /opt/stack/cinder/.tox/.tox/lib/python3.10/site-packages/pyproject_api/_backend.py True setuptools.build_meta __legacy__
cover: install_package> python -m pip install -chttps://releases.openstack.org/constraints/upper/master --force-reinstall --no-deps /opt/stack/cinder/.tox/.tmp/package/3/cinder-22.1.0.dev478-0.editable-py3-none-any.whl
cover: commands[0]> stestr run
{6} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_attach_attaching_volume_with_different_instance [1.941988s] ... ok
{5} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_invalid_iscsi_connector [1.327839s] ... ok
{9} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_delete_backup_force_when_error [2.042777s] ... ok
{2} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_attach_attaching_volume_with_different_mode [1.439927s] ... ok
{3} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_backup_reset_status_with_invalid_backup [2.312337s] ... ok
{4} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_backup_reset_status_as_non_admin [2.441691s] ... ok
{10} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_replication_not_caple_success [2.329623s] ... ok
{12} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_host_no_exist [2.059288s] ... ok
{15} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_attach_in_used_volume_by_host [1.830942s] ... ok
{2} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_attach_in_used_volume_by_instance [0.369197s] ... ok
{12} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_valid_updates_10 [0.217363s] ... ok
{11} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_volume_force_detach_missing_connector [2.167955s] ... ok
{13} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_volume_force_detach_raises_db_error [2.173466s] ... ok
{6} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_force_detach_host_attached_volume [1.653342s] ... ok
{7} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_backup_reset_status_as_admin [2.286281s] ... ok
{8} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_delete_backup_force_when_not_supported [1.971335s] ... ok
{0} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_extend_volume_comp_accepted_success [2.161968s] ... ok
{9} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_extend_volume_comp_wrong_status [0.943588s] ... ok
{1} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_bad_force_host_copy_1_force_host_copy [2.547771s] ... ok
{10} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_success [0.919037s] ... ok
{3} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_delete_backup_force_when_deleting [0.988884s] ... ok
{5} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_force_delete [1.238711s] ... ok
{4} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_bad_force_host_copy_3___true__ [1.002554s] ... ok
{12} cinder.tests.unit.api.contrib.test_backup_project_attribute.BackupProjectAttributeTest.test_get_backup_with_project_1_True [0.772047s] ... ok
{14} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_force_detach_instance_attached_volume [2.656193s] ... ok
{11} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_delete_backup_force_when_creating [0.892921s] ... ok
{13} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_delete_backup_force_when_restoring [0.898156s] ... ok
{2} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_backup_reset_status_with_invalid_body_1 [1.091361s] ... ok
{6} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_invalid_reset_attached_status [0.900231s] ... ok
{7} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_as_non_admin [0.919844s] ... ok
{8} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_reset_status_for_missing_volume [0.920201s] ... ok
{15} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_delete_backup_force_when_available [1.417566s] ... ok
{8} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_valid_updates_09 [0.123440s] ... ok
{0} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_bad_force_host_copy_4_0 [0.945763s] ... ok
{15} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_invalid_updates_2 [0.125151s] ... ok
{15} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_invalid_updates_3 [0.126342s] ... ok
{1} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_comp_from_nova [0.912289s] ... ok
{5} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_malformed_reset_status_body [0.876096s] ... ok
{9} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_bad_lock_volume_2_None [1.160009s] ... ok
{12} cinder.tests.unit.api.contrib.test_backup_project_attribute.BackupProjectAttributeTest.test_list_detail_backups_with_project_2_False [1.204922s] ... ok
