.pkg: _optional_hooks> python /opt/stack/cinder/.tox/.tox/lib/python3.10/site-packages/pyproject_api/_backend.py True setuptools.build_meta __legacy__
.pkg: get_requires_for_build_editable> python /opt/stack/cinder/.tox/.tox/lib/python3.10/site-packages/pyproject_api/_backend.py True setuptools.build_meta __legacy__
.pkg: build_editable> python /opt/stack/cinder/.tox/.tox/lib/python3.10/site-packages/pyproject_api/_backend.py True setuptools.build_meta __legacy__
cover: install_package> python -m pip install -chttps://releases.openstack.org/constraints/upper/master --force-reinstall --no-deps /opt/stack/cinder/.tox/.tmp/package/7/cinder-22.1.0.dev478-0.editable-py3-none-any.whl
cover: commands[0]> stestr run
{0} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_attach_attaching_volume_with_different_mode [0.662234s] ... ok
{5} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_valid_updates_08 [0.640009s] ... ok
{2} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_delete_backup_force_when_error [1.787268s] ... ok
{0} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_success [1.155729s] ... ok
{8} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_force_detach_host_attached_volume [2.066502s] ... ok
{12} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_attach_in_used_volume_by_instance [0.828199s] ... ok
{4} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_invalid_iscsi_connector [0.638263s] ... ok
{6} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_attach_in_used_volume_by_host [0.921576s] ... ok
{5} cinder.tests.unit.api.contrib.test_backup_project_attribute.BackupProjectAttributeTest.test_get_backup_with_project_2_False [1.232582s] ... ok
{7} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_delete_backup_force_when_available [1.576796s] ... ok
{10} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_backup_reset_status_as_admin [1.603472s] ... ok
{15} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_attach_attaching_volume_with_different_instance [0.919222s] ... ok
{2} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_invalid_status_for_snapshot_2 [0.894397s] ... ok
{1} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_delete_backup_force_when_error_deleting [1.631450s] ... ok
{1} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_invalid_updates_3 [0.124809s] ... ok
{8} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_backup_reset_status_with_invalid_body_1 [0.847516s] ... ok
{9} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_delete_backup_force_when_creating [1.586655s] ... ok
