.pkg: _optional_hooks> python /opt/stack/cinder/.tox/.tox/lib/python3.10/site-packages/pyproject_api/_backend.py True setuptools.build_meta __legacy__
.pkg: get_requires_for_build_editable> python /opt/stack/cinder/.tox/.tox/lib/python3.10/site-packages/pyproject_api/_backend.py True setuptools.build_meta __legacy__
.pkg: build_editable> python /opt/stack/cinder/.tox/.tox/lib/python3.10/site-packages/pyproject_api/_backend.py True setuptools.build_meta __legacy__
cover: install_package> python -m pip install -chttps://releases.openstack.org/constraints/upper/master --force-reinstall --no-deps /opt/stack/cinder/.tox/.tmp/package/8/cinder-22.1.0.dev478-0.editable-py3-none-any.whl
cover: commands[0]> stestr run
{15} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_attach_attaching_volume_with_different_instance [0.762302s] ... ok
{8} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_invalid_iscsi_connector [0.618397s] ... ok
{15} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_force_detach_host_attached_volume [1.372273s] ... ok
{10} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_attach_in_used_volume_by_instance [0.883791s] ... ok
{7} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_attach_attaching_volume_with_different_mode [0.694951s] ... ok
{1} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_attach_in_used_volume_by_host [0.927482s] ... ok
{9} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_delete_backup_force_when_available [1.622867s] ... ok
{6} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_force_delete [1.746763s] ... ok
{9} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_invalid_updates_2 [0.129997s] ... ok
{8} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_delete_backup_force_when_not_supported [1.143262s] ... ok
{15} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_volume_force_detach_raises_db_error [1.056672s] ... ok
{7} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_malformed_reset_status_body [1.149827s] ... ok
{11} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_force_detach_instance_attached_volume [1.964347s] ... ok
{14} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_backup_reset_status_as_non_admin [1.959403s] ... ok
{4} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_bad_force_host_copy_3___true__ [1.764422s] ... ok
{0} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_backup_reset_status_with_invalid_body_1 [1.589506s] ... ok
{10} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_backup_reset_status_as_admin [1.144600s] ... ok
{3} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_delete_backup_force_when_deleting [1.681990s] ... ok
{13} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_backup_reset_status [1.944905s] ... ok
{1} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_delete_backup_force_when_restoring [1.197580s] ... ok
{5} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_volume_force_detach_raises_remote_error [2.556421s] ... ok
{12} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_delete_backup_force_when_error_deleting [1.764765s] ... ok
{6} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_success_3_3_3_16 [0.909353s] ... ok
{5} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_invalid_updates_3 [0.134517s] ... ok
{8} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_extend_volume_comp_wrong_status [0.879975s] ... ok
{6} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_valid_updates_02 [0.134288s] ... ok
{9} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_bad_lock_volume_2_None [0.952876s] ... ok
{2} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsAttachDetachTest.test_volume_force_detach_missing_connector [2.300603s] ... ok
{8} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_invalid_updates_1 [0.136903s] ... ok
{7} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_bad_force_host_copy_2_None [0.907181s] ... ok
{11} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_extend_volume_comp_accepted_failure [0.899500s] ... ok
{0} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_bad_lock_volume_3___true__ [0.885764s] ... ok
{10} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_invalid_status_for_backup_1 [0.862485s] ... ok
{14} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_extend_volume_comp_missing_metadata [0.917989s] ... ok
{3} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_fail_host_and_cluster [0.908045s] ... ok
{4} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_success [0.944882s] ... ok
{15} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_delete_backup_force_when_error [1.198504s] ... ok
{1} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_invalid_status_for_snapshot_1 [0.851489s] ... ok
{13} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_valid_lock_volume_1_true [0.889669s] ... ok
{12} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_invalid_reset_attached_status [0.911837s] ... ok
{2} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_backup_reset_status_with_invalid_backup [0.912619s] ... ok
{5} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_same_host [1.227056s] ... ok
{6} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_inuse_force [1.155553s] ... ok
{9} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_comp_from_nova [1.224619s] ... ok
{8} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_as_non_admin [1.162917s] ... ok
{15} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_bad_force_host_copy_1_force_host_copy [0.892048s] ... ok
{7} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_reset_attach_status [1.249637s] ... ok
{11} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_extend_volume_comp_wrong_size [1.210668s] ... ok
{0} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_host_no_exist [1.182703s] ... ok
{14} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_invalid_status_for_backup_2 [1.195464s] ... ok
{10} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_bad_lock_volume_1_lock_volume [1.233622s] ... ok
{4} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_reset_available_to_in_use_on_nonattached_volume_fail [1.257794s] ... ok
{14} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_invalid_updates_4 [0.124642s] ... ok
{3} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_reset_attached_status [1.277494s] ... ok
{13} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_valid_lock_volume_4_0 [1.174914s] ... ok
{1} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_replication_not_caple_success [1.226377s] ... ok
{4} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_valid_updates_10 [0.123556s] ... ok
{12} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_bad_force_host_copy_4_0 [1.235511s] ... ok
{6} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_incremental_backup [0.821178s] ... ok
{5} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_success_cluster [0.918791s] ... ok
{9} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_comp_no_action [0.833453s] ... ok
{8} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_reset_in_use_to_in_use_fail [0.886031s] ... ok
{2} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_delete_backup_force_when_creating [1.178744s] ... ok
{15} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_migrate_volume_comp_as_non_admin [0.827922s] ... ok
{7} cinder.tests.unit.api.contrib.test_backups.BackupsAPITestCase.test_create_backup_with_invalid_volume_id_format [0.782039s] ... ok
{11} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_force_delete_snapshot [0.836675s] ... ok
{0} cinder.tests.unit.api.contrib.test_admin_actions.AdminActionsTest.test_reset_attached_status_to_attached [0.881064s] ... ok
